variable_id,output_frequency,shape,priority,dimension,file_size_MB,experiment_id
alpha,monthly,XYT,3,2D,16.4,A
area,NA,NA,NA,NA,0.3,ancillary
Area_tot_native,NA,NA,NA,NA,0,ancillary
Atm_CO2,NA,NA,NA,NA,0,ancillary
dfeos,monthly,XYT,2,2D,18.4,A
dissic,annual,XYZT,1,3D,18.5,A
dissicos,monthly,XYT,1,2D,14.6,A
epc,annual,XYZT,1,3D,23.7,A
epc100,monthly,XYT,1,2D,18.4,A
epc1000,monthly,XYT,2,2D,15.9,A
fgco2,monthly,XYT,1,2D,19.5,A
fgco2_glob,monthly,T,1,2D,0,A
fice,monthly,XYT,1,2D,1.9,A
intpp,monthly,XYT,1,2D,18.6,A
mask_sfc,NA,NA,NA,NA,0.3,ancillary
mask_vol,NA,NA,NA,NA,4.2,ancillary
mld,monthly,XYT,1,2D,18.5,A
no3,annual,XYZT,2,3D,23.4,A
no3os,monthly,XYT,2,2D,18.8,A
o2,annual,XYZT,2,3D,21.1,A
o2os,monthly,XYT,2,2D,16.2,A
pco2atm,monthly,XYT,2,2D,13.5,A
po4,annual,XYZT,2,3D,23.3,A
po4os,monthly,XYT,2,2D,18.6,A
ROMS-Atlantic-ETHZ_Ancillary_data_v20210707.tar,NA,NA,NA,NA,8.9,ancillary
si,annual,XYZT,2,3D,23.5,A
sios,monthly,XYT,2,2D,18.6,A
so,annual,XYZT,1,3D,17.7,A
sos,monthly,XYT,1,2D,14.3,A
spco2,monthly,XYT,1,2D,16.3,A
talk,annual,XYZT,1,3D,17.8,A
talkos,monthly,XYT,1,2D,14.3,A
thetao,annual,XYZT,1,3D,22.4,A
tos,monthly,XYT,1,2D,17.8,A
Vol_tot_native,NA,NA,NA,NA,0,ancillary
volume,NA,NA,NA,NA,4.2,ancillary
